MID_OP1_#001	キャラ配置(PID_マロン, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_ED2_#068	キャラ配置調整(PID_デモ用_視線設定用,0, -1.55, -0.4)\nキャラ視線(PID_E004_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_ED2_#069	キャラモーション再生(PID_E004_エル, Sad, EmoSad2,0, 0.5)
MID_ED2_#070	キャラカメラ(CharaCam_Side_Left_Mid, PID_E004_イル, cam_anim_pan_r_slow)\nキャラ配置調整(PID_M011_モーヴ,0,0, -0.25)\nキャラ配置調整(PID_E004_グレゴリー,0,0, -0.1)\n\nキャラモーション再生(PID_E004_イル, Sad, EmoTalk2,0, 0.5)\n\nキャラ視線(PID_E004_セレスティア, PID_E004_エル, PID_E004_エル)\n\n*\nパペット会話中断()\nウェイト(1.5)
MID_ED2_#071	キャラカメラ(CharaCam_ShoulderLong_Right_Mid, PID_E004_マデリーン, cam_anim_track_r_slow)
MID_ED2_#072	キャラ回転(PID_E004_エル,-90,1,0)\nキャラ視線リセット(PID_E004_エル)\nキャラモーション再生(PID_E004_エル, Serious, TurnL,0, 0.5)\n\nキャラモーション再生(PID_E004_エル, Angry, WalkOut,1.5,1)\n\nキャラ回転(PID_リュール,90, 1.5, 1.8)\nキャラ視線リセット(PID_リュール)\nキャラモーション再生(PID_リュール, Surprise, TurnR, 1.8, 0.5)
MID_ED2_#073	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E004_セレスティア, cam_anim_track_l_slow)\n\nキャラ削除(PID_E004_エル)\n\nキャラ回転(PID_E004_セレスティア,70,1,0)\nキャラ視線リセット(PID_E004_セレスティア)\nキャラモーション再生(PID_E004_セレスティア, Surprise, TurnR,0, 0.5)\n\nキャラ回転(PID_M011_モーヴ,25,1,0)\nキャラ視線リセット(PID_M011_モーヴ)\nキャラモーション再生(PID_M011_モーヴ, Surprise, TurnR,0, 0.5)\n\nキャラ回転(PID_E004_グレゴリー,40,1,0)\nキャラ視線リセット(PID_E004_グレゴリー)\nキャラモーション再生(PID_E004_グレゴリー, Surprise, TurnR,0, 0.5)\n\nキャラ回転(PID_E004_マデリーン,50,1,0)\nキャラ視線リセット(PID_E004_マデリーン)\nキャラモーション再生(PID_E004_マデリーン, Surprise, TurnR,0, 0.5)\n\nキャラ回転(PID_E004_イル,45,1,0.5)\nキャラ視線リセット(PID_E004_イル)\nキャラモーション再生(PID_E004_イル, Surprise, TurnR,0.5, 0.5)\n\nサウンドイベント(Env_Evt_Ircion_Snow_Start)
MID_ED2_#074	キャラ視線(PID_E004_セレスティア, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_M011_モーヴ, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_E004_グレゴリー, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_E004_マデリーン, PID_E004_イル, PID_E004_イル)\n\nキャラモーション再生(PID_E004_イル, Angry, EmoSurprise2,0, 0.5)\nキャラモーション再生(PID_E004_イル, Angry, EmoTalk2, 1.8, 0.5)\nキャラモーション再生(PID_E004_セレスティア, Sad)\n\nキャラ視線(PID_E004_イル, PID_E004_セレスティア, PID_E004_セレスティア,2)
MID_ED2_#075	キャラ視線(PID_E004_イル, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラモーション再生(PID_E004_イル, Angry, EmoNod,0,1)
MID_ED2_#076	キャラモーション再生(PID_E004_セレスティア, Angry, EmoNod,0, 0.5)\nキャラ配置調整(GID_E004_敵カミラ,1,0,0)\nキャラ表示切替(PID_リュール, False)\n\n*\nキャラ視線(PID_E004_セレスティア, GID_E004_敵カミラ, GID_E004_敵カミラ)\nキャラ視線(PID_M011_モーヴ, GID_E004_敵カミラ, GID_E004_敵カミラ)\nキャラ視線(PID_E004_グレゴリー, GID_E004_敵カミラ, GID_E004_敵カミラ)\nキャラ視線(PID_E004_マデリーン, GID_E004_敵カミラ, GID_E004_敵カミラ)\n\nキャラモーション再生(PID_E004_セレスティア, Angry, RunOut,0,1)\nキャラモーション再生(PID_M011_モーヴ, Angry, RunOut,0.5,1)\nキャラモーション再生(PID_E004_グレゴリー, Angry, RunOut,0.25,1)\nキャラモーション再生(PID_E004_マデリーン, Angry, RunOut,0,1)\n\nキャラ配置調整(PID_リュール, -0.5,0, -0.3, -10)\n\nウェイト(2)
MID_ED2_#077	キャラ配置調整(GID_E004_敵セネリオ,0.3,0,1.2)\nキャラ表示切替(PID_リュール, True)\n\nキャラカメラ(CharaCam_Shoulder_Right_Mid, GID_E004_敵セネリオ, cam_anim_track_l_slow, 0.5)\n\nキャラモーション再生(PID_E004_イル, Sad, IdleNormal,0,1)\nキャラモーション再生(PID_リュール, Sad)\n\nキャラ視線(PID_E004_イル, PID_リュール, PID_リュール)\n\n*\n\nウェイト(1)\nフェードアウト()\nサウンドイベント(Env_Evt_Ircion_Snow_End)
MID_ED3_#001	キャラ配置(PID_リュール, ME_IN_D, [服装], Sad, IdleNormal,0)\nキャラ配置調整(PID_リュール,0,0, -0.3)\nキャラ配置(GID_E001_敵チキ, ME_OUT_D, [服装], Normal, IdleNormal,0)\nキャラ表示切替(GID_E001_敵チキ, False)\n\nキャラ配置(PID_E004_イル, YOU_IN_D, [服装], Normal, IdleNormal,180)\nキャラ配置調整(PID_E004_イル,0,0, -0.3)\n\nキャラ配置(PID_E005_Boss, YOU_IN_D, [服装], Normal, IdleNormal,0)\nキャラ表示切替(PID_E005_Boss, False)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_MID_CD, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用,0, -1.5,0)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\nキャラ配置(PID_デモ用_視線設定用2, YOU_MID_D, [服装], Normal, IdleNormal,180)\nキャラ配置調整(PID_デモ用_視線設定用2,0, -0.5,0)\n\nエフェクト表示(Effect01, Effects/Event/M009_MID_ED1/Prefabs/M009_MID_ED1)\n\n背景(Map_Event_M009_04)\nライト(CharaLight_E004, 0, 0, 0)\n\nキャラ視線(PID_E004_イル, PID_デモ用_視線設定用2, PID_デモ用_視線設定用2)\nキャラモーション再生(PID_E004_イル, Shy, EmoTired)\n\nウェイト(0.5)\n\nキャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E004_イル, cam_anim_track_l_slow)\nサウンドイベント(Env_Evt_Ircion_Snow_Start)\nフェードイン()
MID_ED3_#002	キャラモーション再生(PID_E004_イル, Die, EmoDeny2,0,1)
MID_ED3_#003	キャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n*\nパペット会話中断()\nウェイト(1)
MID_ED3_#004	キャラ回転(PID_E004_イル,180,1.5,0)\nキャラモーション再生(PID_E004_イル, Normal, TurnR,0, 0.5)\nキャラモーション再生(PID_E004_イル, Normal, EmoTalk2,1,1)\n\nキャラ視線リセット(PID_E004_イル)
MID_ED3_#005	キャラモーション再生(PID_リュール, Serious, EmoDeny2,0, 0.5)
MID_ED3_#006	キャラモーション再生(PID_E004_イル, Normal, EmoNod,0,1)
MID_ED3_#007	キャラカメラ(CharaCam_Side_Right2_Mid, PID_E004_イル, cam_anim_track_l_slow)\n\nキャラ配置調整(PID_デモ用_視線設定用, 0.3,3, -1.5)\nキャラ視線(PID_E004_イル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_リュール, PID_E004_イル, PID_E004_イル)\n\nキャラモーション再生(PID_E004_イル, Die, IdleNormal,0,2)
MID_ED3_#008	キャラモーション再生(PID_E004_イル, Shy, EmoSad,0,1)
MID_ED3_#009	キャラ視線(PID_E004_イル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E004_イル, Die, EmoDeny,0,1)\nキャラモーション再生(PID_E004_イル, Shy, IdleNormal,2.5,1.5)
MID_ED3_#010	キャラ視線(PID_リュール, PID_E004_イル, PID_E004_イル)\n\nキャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E004_イル, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_リュール, Shy, EmoTalk,0, 0.5)
MID_ED3_#011	キャラモーション再生(PID_E004_イル, Shy, EmoShy,0, 0.5)\nキャラモーション再生(PID_リュール, Shy, IdleNormal,0,1)
MID_ED3_#012	キャラモーション再生(PID_E004_イル, Serious, EmoNod,0,1)
MID_ED3_#013	キャラカメラ(CharaCam_Front_Center_Top, PID_E005_Boss, cam_anim_zoom_in_slow)\n\nキャラ削除(PID_E004_イル)\nキャラ表示切替(PID_E005_Boss, True)\n\nキャラ配置調整(PID_デモ用_視線設定用,0,-2,0)\nキャラ視線(PID_E005_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E005_Boss, Sad, EmoThinkIn,0,1)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED3_#014	キャラ視線(PID_E005_Boss, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E005_Boss, Normal, EmoThinkOut,0, 0.5)
MID_ED3_#015	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_リュール, Surprise)
MID_ED3_#016	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_E005_Boss, Shy, EmoSurprise2,0,1)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED3_#017	キャラモーション再生(PID_E005_Boss, Smile, EmoTalk2,0,1)
MID_ED3_#018	キャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Angry, EmoSurprise,0,1)\nキャラモーション再生(PID_E005_Boss, Smile, IdleNormal)
MID_ED3_#019	キャラカメラ(CharaCam_Shoulder_Right_Mid, PID_リュール, cam_anim_zoom_out_slow)\nキャラモーション再生(PID_リュール, Angry, IdleNormal,0,1)\nキャラ視線リセット(PID_リュール)\n\nキャラモーション再生(PID_E005_Boss, Smile, EmoTalk,0, 0.5)\n\nキャラ回転(PID_リュール,180,2, 3.5)\nキャラモーション再生(PID_リュール, Angry, TurnR, 3.5, 0.5)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_E005_Boss)\nキャラモーション再生(PID_リュール, Surprise, IdleNormal,0,1)\nウェイト(1)\n\nキャラカメラ(CharaCam_Front_Center_Mid, GID_E001_敵チキ, cam_anim_waisttoface)\nキャラ表示切替(PID_リュール, False)\nキャラ表示切替(GID_E001_敵チキ, True)\nウェイト(3.5)
MID_ED3_#020	キャラ表示切替(PID_E005_Boss, False)\nキャラ配置調整(PID_E005_Boss, 0.35,0, -0.65)\n\nキャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E005_Boss, cam_anim_track_l_slow)\n\nキャラ表示切替(PID_リュール, True)\nキャラモーション再生(PID_リュール, Surprise, EmoSurprise2,0,0.5)\nキャラ視線(GID_E001_敵チキ, PID_リュール, PID_リュール)\n\n*\nパペット会話中断()\nウェイト(1)
MID_ED3_#021	キャラ表示切替(PID_E005_Boss, True)\nキャラモーション再生(PID_E005_Boss, Smile, WalkIn2)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_E005_Boss)\n\nキャラ配置調整(PID_デモ用_視線設定用,1, 0.2, -1)\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_ED3_#022	キャラカメラ(CharaCam_Shoulder_Right_Mid, GID_E001_敵チキ, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E005_Boss, Strike, EmoProud,0, 0.5)\nキャラモーション再生(PID_E005_Boss, Shy, EmoTalk2,2,1)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_E005_Boss)
MID_ED3_#023	キャラ視線(PID_E005_Boss, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E005_Boss, Smile)\nキャラ武器装備(PID_E005_Boss,鋼のナイフ)\n\n*\nパペット会話中断()
MID_ED3_#024	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E005_Boss, Smile, EmoWave,0, 0.5)\n\nサウンドイベント(Env_Evt_Ircion_Snow_End)\n\nウェイト(0.4)\n一枚絵表示(Tex_Event_Effect_Black)\nウェイト(0.5)\n\n*\nフェードアウト()
MID_ED4_#001	サウンドイベント(SE_DLC_Evt_E001_ED3_Reminiscence)\n一枚絵表示(Tex_Event_DLC_Recollection_5, picture_fade_in_slow)\nサウンドイベント(SE_DLC_Evt_E004_ED4_Summon)\nテロップエフェクト表示(Effects/Telop/Prefabs/Eff_Telop_Recollection_Loop, False)\nフェードイン()
MID_ED4_#002	
MID_ED4_#003	
MID_ED4_#004	
MID_ED4_#005	フェードアウト()\nウェイト(0.3)\n\n一枚絵表示(Tex_Event_DLC_Recollection_6, picture_fade_in_slow)\nフェードイン()\nウェイト(0.3)
MID_ED4_#006	
MID_ED4_#007	
MID_ED4_#008	
MID_ED4_#009	
MID_ED4_#010	
MID_ED4_#011	
MID_ED4_#012	*\nフェードアウト()\nサウンドイベント(SE_DLC_Evt_E001_ED3_Reminiscence_Stop_Slow)\nテロップエフェクト削除
