MID_OP1_#001	キャラ配置(PID_青リュール, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_ED2_#011	キャラカメラ(CharaCam_Side_Left_Mid, PID_デモ用_神竜王リュール, cam_anim_pan_l_slow)\nキャラ表示切替(PID_デモ用_神竜王リュール, True)\n\nキャラ視線(PID_デモ用_神竜王リュール, PID_E006_セレスティア, PID_E006_セレスティア)\nキャラ視線(PID_E006_セレスティア, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_デモ用_神竜王リュール, Shy, EmoTalk2,0, 0.5)
MID_ED2_#012	キャラ配置調整(PID_デモ用_視線設定用, 0.5, 1.5,0)\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_デモ用_視線設定用, cam_anim_track_l_slow)\n\nキャラ視線(PID_E006_セレスティア, PID_デモ用_神竜王リュール, PID_デモ用_神竜王リュール)\nキャラ視線(PID_E006_グレゴリー, PID_デモ用_神竜王リュール, PID_デモ用_神竜王リュール)\nキャラ視線(PID_E006_マデリーン, PID_デモ用_神竜王リュール, PID_デモ用_神竜王リュール)\n\nキャラモーション再生(PID_E006_セレスティア, Surprise, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E006_グレゴリー, Surprise)\nキャラモーション再生(PID_E006_マデリーン, Surprise)\nキャラモーション再生(PID_デモ用_神竜王リュール, Normal, IdleNormal,0,1)
MID_ED2_#013	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_デモ用_神竜王リュール, cam_anim_track_r_slow)\nキャラ表示切替(PID_E006_セレスティア, False)\n\nキャラモーション再生(PID_デモ用_神竜王リュール, Sad, EmoTalk,0,1)\nキャラモーション再生(PID_E006_セレスティア, Surprise, IdleNormal)
MID_ED2_#014	キャラ配置調整(PID_デモ用_視線設定用, -0.5, -1.5,0)\n\nキャラ視線(PID_デモ用_神竜王リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_デモ用_神竜王リュール, Sad, EmoPray,0,1)
MID_ED2_#015	キャラ視線(PID_デモ用_神竜王リュール, PID_E006_セレスティア, PID_E006_セレスティア)\n\nキャラモーション再生(PID_デモ用_神竜王リュール, Serious, EmoDeny2,0,1)
MID_ED2_#016	キャラモーション再生(PID_デモ用_神竜王リュール, Angry, EmoTalk2,0,1)\n\n*\nウェイト(1)
MID_ED2_#017	キャラカメラ(CharaCam_Side_Right2_Mid, PID_E006_セレスティア, cam_anim_track_l_slow)\nキャラ表示切替(PID_E006_セレスティア, True)\n\nキャラ視線(PID_E006_グレゴリー, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E006_マデリーン, PID_E006_グレゴリー, PID_E006_グレゴリー)\nキャラ視線(PID_E006_セレスティア, PID_E006_グレゴリー, PID_E006_グレゴリー)\n\nキャラモーション再生(PID_E006_グレゴリー, Angry, EmoThinkIn,0, 0.5).\nキャラモーション再生(PID_E006_マデリーン, Angry)\n\nキャラ回転(PID_E006_セレスティア,90,1,1)\nキャラモーション再生(PID_E006_セレスティア, Normal, TurnR,1, 0.5)
MID_ED2_#018	キャラ視線(PID_E006_グレゴリー, PID_E006_セレスティア, PID_E006_セレスティア)\n\nキャラモーション再生(PID_E006_グレゴリー, Angry, EmoThinkOut,0, 0.5)
MID_ED2_#019	キャラモーション再生(PID_E006_グレゴリー, Shy)
MID_ED2_#020	キャラカメラ(CharaCam_Side_Right_Mid, PID_E006_マデリーン, cam_anim_track_l_slow)\n\nキャラ視線(PID_E006_マデリーン, PID_デモ用_神竜王リュール, PID_デモ用_神竜王リュール)\nキャラ視線(PID_E006_グレゴリー, PID_E006_マデリーン, PID_E006_マデリーン)\n\nキャラモーション再生(PID_E006_マデリーン, Sad, EmoThink,1, 0.5)\n\nキャラ回転(PID_E006_グレゴリー, -40,1,0)\nキャラモーション再生(PID_E006_グレゴリー, Angry, TurnL,0, 0.5)
MID_ED2_#021	キャラ視線(PID_E006_マデリーン, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラ回転(PID_E006_セレスティア, -170, 1.5,0)\nキャラ視線(PID_E006_セレスティア, PID_E006_マデリーン, PID_E006_マデリーン)\nキャラモーション再生(PID_E006_セレスティア, Normal, TurnL,0, 0.5)
MID_ED2_#022	キャラカメラ(CharaCam_FrontLong_Center_Top, PID_E006_セレスティア, cam_anim_zoom_out_slow)\nキャラ表示切替(PID_デモ用_神竜王リュール, False)
MID_ED2_#023	キャラモーション再生(PID_E006_マデリーン, Pain, EmoSad2,0, 0.5)\nキャラモーション再生(PID_E006_グレゴリー, Andry)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED2_#024	*\nパペット会話中断()\nウェイト(0.5)
MID_ED2_#025	キャラモーション再生(PID_E006_グレゴリー, Angry, EmoTalk2,0, 0.5)\n\nキャラ視線(PID_E006_マデリーン, PID_E006_グレゴリー, PID_E006_グレゴリー)
MID_ED2_#026	*\nパペット会話中断()\nウェイト(0.5)
MID_ED2_#027	キャラカメラ(CharaCam_Side_Right2_Top, PID_E006_マデリーン, cam_anim_zoom_in_slow)\n\nキャラ視線(PID_E006_マデリーン, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E006_マデリーン, Sad)\n\n*\nウェイト(0.5)
MID_ED2_#028	キャラカメラ(CharaCam_Side_Right2_Mid, PID_E006_グレゴリー, cam_anim_track_l_slow)\nキャラ表示切替(PID_E006_セレスティア, False)\n\nキャラ視線(PID_E006_マデリーン, PID_E006_グレゴリー, PID_E006_グレゴリー)\n\nキャラモーション再生(PID_E006_グレゴリー, Smile, EmoTalk,0, 0.5)\n\nキャラ回転(PID_E006_マデリーン, 40,0,0)
MID_ED2_#029	
MID_ED2_#030	キャラカメラ(CharaCam_Side_Right2_Bot, PID_E006_マデリーン, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E006_マデリーン, Pain, EmoSurprise2,0, 0.5)
MID_ED2_#031	キャラカメラ(CharaCam_Side_Right2_Mid, PID_E006_グレゴリー, cam_anim_zoom_in_fast)\n\nキャラモーション再生(PID_E006_グレゴリー, Angry)
MID_ED2_#032	キャラモーション再生(PID_E006_グレゴリー, Shy, EmoTalk2,0,1)\nキャラモーション再生(PID_E006_マデリーン, Surprise)\n\n*\nウェイト(0.5)
MID_ED2_#033	キャラカメラ(CharaCam_Front_Center_Top, PID_E006_マデリーン, cam_anim_zoom_in_slow)\n\nキャラ視線(PID_E006_マデリーン, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラモーション再生(PID_E006_マデリーン, Sad)
MID_ED2_#034	キャラモーション再生(PID_E006_マデリーン, Serious, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_E006_マデリーン, Serious, EmoSad, 4.5,1)
MID_ED2_#035	キャラカメラ(CharaCam_Side_Left2_Bot, PID_E006_セレスティア, cam_anim_track_l_slow)\nキャラ表示切替(PID_E006_セレスティア, True)\n\nキャラモーション再生(PID_E006_セレスティア, Sad, EmoNod,0, 0.5)\nキャラモーション再生(PID_E006_グレゴリー, Angry)\nキャラモーション再生(PID_E006_マデリーン, Serious, EmoDeny2,0,1)\n\n*\nウェイト(1)
MID_ED2_#036	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_デモ用_神竜王リュール, cam_anim_track_r_slow)\nキャラ表示切替(PID_デモ用_神竜王リュール, True)\n\nキャラ視線(PID_デモ用_神竜王リュール, PID_E006_マデリーン, PID_E006_マデリーン)\nキャラ視線(PID_E006_セレスティア, PID_デモ用_神竜王リュール, PID_デモ用_神竜王リュール)\nキャラ視線(PID_E006_グレゴリー, PID_デモ用_神竜王リュール, PID_デモ用_神竜王リュール)\nキャラ視線(PID_E006_マデリーン, PID_デモ用_神竜王リュール, PID_デモ用_神竜王リュール)\n\nキャラモーション再生(PID_デモ用_神竜王リュール, Sad)\nキャラモーション再生(PID_E006_マデリーン, Serious, IdleNormal,0,1)
MID_ED2_#037	キャラカメラ(CharaCam_Front_Center_Mid, PID_デモ用_神竜王リュール, cam_anim_zoom_in_slow)\n\nキャラ視線(PID_デモ用_神竜王リュール, PID_E006_セレスティア, PID_E006_セレスティア)\n\nキャラモーション再生(PID_デモ用_神竜王リュール, Sad, EmoTalk,0, 0.5)
MID_ED2_#038	キャラモーション再生(PID_デモ用_神竜王リュール, Sad, EmoTalk2,0,1)\n\nキャラ回転(PID_E006_セレスティア, 80,0,0)\nキャラ回転(PID_E006_グレゴリー, 40,1,0)\nキャラ回転(PID_E006_マデリーン, -40,0,0)\n\nキャラ視線(PID_E006_グレゴリー, PID_デモ用_神竜王リュール, PID_デモ用_神竜王リュール)
MID_ED2_#039	キャラカメラ(CharaCam_Shoulder_Right_Mid, PID_デモ用_神竜王リュール, cam_anim_track2_r_normal)\n\nキャラモーション再生(PID_E006_セレスティア, Sad, EmoRelax,0, 0.5)\nキャラモーション再生(PID_E006_マデリーン, Sad)
MID_ED2_#040	キャラ視線(PID_E006_セレスティア, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\n*\nウェイト(0.5)
MID_ED2_#041	キャラモーション再生(PID_デモ用_神竜王リュール, Sad, EmoNod,0, 0.5)
MID_ED2_#042	キャラ視線(PID_E006_セレスティア, PID_デモ用_神竜王リュール, PID_デモ用_神竜王リュール)\nキャラ視線(PID_E006_マデリーン, PID_E006_セレスティア, PID_E006_セレスティア)\n\nキャラモーション再生(PID_E006_セレスティア, Normal, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_デモ用_神竜王リュール, Sad, IdleNormal,0,1)
MID_ED2_#043	キャラ配置調整(PID_デモ用_視線設定用, 0.5, 1.5,0)\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_デモ用_視線設定用, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E006_セレスティア, Shy, EmoTalk,0,1)
MID_ED2_#044	キャラモーション再生(PID_E006_セレスティア, Shy)\n\nキャラ視線(PID_E006_マデリーン, PID_デモ用_神竜王リュール, PID_デモ用_神竜王リュール)\nキャラモーション再生(PID_E006_マデリーン, Serious)
MID_ED2_#045	キャラカメラ(CharaCam_Side_Left2_Bot, PID_デモ用_神竜王リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_デモ用_神竜王リュール, Smile)
MID_ED2_#046	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E006_セレスティア, cam_anim_zoom_out_slow)\nキャラ表示切替(PID_デモ用_神竜王リュール, False)\n\nキャラモーション再生(PID_E006_セレスティア, Angry, EmoNod,0, 0.5)\nキャラモーション再生(PID_E006_セレスティア, Die, IdleNormal,2,1)\nキャラモーション再生(PID_E006_グレゴリー, Angry)\nキャラモーション再生(PID_E006_マデリーン, Angry)
MID_ED2_#047	キャラモーション再生(PID_E006_グレゴリー, Angry, EmoNod,0, 0.5)
MID_ED2_#048	キャラモーション再生(PID_E006_マデリーン, Angry, EmoNod,0, 0.5)
MID_ED2_#049	キャラモーション再生(PID_E006_セレスティア, Smile)\nキャラモーション再生(PID_E006_グレゴリー, Smile)\n\n*\nパペット会話中断()\nウェイト(1)
MID_ED2_#050	キャラモーション再生(PID_E006_セレスティア, Die, EmoRelax,0, 0.5)\nキャラモーション再生(PID_E006_グレゴリー, Die, EmoRelax,1, 0.5)\nキャラモーション再生(PID_E006_マデリーン, Die, EmoRelax, 0.5, 0.5)\n\n*\nキャラモーション待ち(PID_E006_セレスティア)\n\nキャラモーション再生(PID_E006_セレスティア, Smile)\nキャラモーション再生(PID_E006_グレゴリー, Smile)\nキャラモーション再生(PID_E006_マデリーン, Smile)
MID_ED2_#051	キャラカメラ(CharaCam_Side_Left_Mid, PID_デモ用_神竜王リュール, cam_anim_pan_l_slow)\nキャラ表示切替(PID_デモ用_神竜王リュール, True)\n\nキャラモーション再生(PID_デモ用_神竜王リュール, Smile, EmoRelax,0, 0.5)\n\nキャラ視線リセット(PID_E006_セレスティア)
MID_ED2_#052	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_デモ用_視線設定用, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E006_セレスティア, Smile, EmoNod,0, 0.5)\nキャラモーション再生(PID_デモ用_神竜王リュール, Smile, IdleNormal,0,1)
MID_ED2_#053	キャラモーション再生(PID_E006_セレスティア, Smile, EmoLook,0, 0.5)\n\nキャラ視線(PID_E006_グレゴリー, PID_E006_セレスティア, PID_E006_セレスティア)\nキャラ視線(PID_E006_マデリーン, PID_E006_セレスティア, PID_E006_セレスティア)\nキャラ視線(PID_E006_セレスティア, PID_E006_マデリーン, PID_E006_マデリーン,1)\nキャラ視線(PID_E006_セレスティア, PID_デモ用_神竜王リュール, PID_デモ用_神竜王リュール, 3)\n\n*\nキャラモーション待ち(PID_E006_セレスティア)
MID_ED2_#054	キャラモーション再生(PID_E006_グレゴリー, Smile, EmoThink,0, 0.5)\n\nキャラ視線(PID_E006_マデリーン, PID_E006_グレゴリー, PID_E006_グレゴリー)\nキャラ視線(PID_E006_セレスティア, PID_E006_グレゴリー, PID_E006_グレゴリー)
MID_ED2_#055	キャラモーション再生(PID_E006_マデリーン, Angry, EmoTalk2,0, 0.5)
MID_ED2_#056	キャラモーション再生(PID_E006_セレスティア, Smile, EmoProud,0,1)\nキャラモーション再生(PID_E006_マデリーン, Shy, IdleNormal,0,1)\nキャラ視線(PID_E006_マデリーン, PID_E006_セレスティア, PID_E006_セレスティア)\n\nキャラ視線リセット(PID_デモ用_神竜王リュール)
MID_ED2_#057	
MID_ED2_#058	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_デモ用_神竜王リュール, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_E006_マデリーン, Smile)\nキャラモーション再生(PID_E006_セレスティア, Smile, IdleNormal)\nキャラモーション再生(PID_デモ用_神竜王リュール, Smile, EmoJoy,0, 0.5)\n\nキャラ視線リセット(PID_E006_セレスティア)\nキャラ視線リセット(PID_E006_グレゴリー)\nキャラ視線リセット(PID_E006_マデリーン)\n\n*\nパペット会話中断()\nウェイト(1)
MID_ED2_#059	キャラカメラ(CharaCam_Shoulder_Right_Mid, PID_デモ用_神竜王リュール, cam_anim_zoom_out_slow)\nキャラ回転(PID_デモ用_神竜王リュール, 180, 1.5,0)\nキャラモーション再生(PID_デモ用_神竜王リュール, Smile, TurnL,0, 0.5)\nキャラモーション再生(PID_デモ用_神竜王リュール, Die, EmoPray,1,1)\n\n*\nウェイト(1.7)\nキャラモーション再生(PID_デモ用_神竜王リュール, Smile, IdleNormal,0,1)\nウェイト(0.3)\n\nキャラモーション再生(PID_デモ用_神竜王リュール, Smile, WalkOut,0,1)\nキャラモーション再生(PID_E006_セレスティア, Smile, WalkOut,1, 0.5)\nキャラモーション再生(PID_E006_グレゴリー, Smile, WalkOut,1, 0.5)\nキャラモーション再生(PID_E006_マデリーン, Smile, WalkOut,1, 0.5)\n\nウェイト(2.5)\nキャラ表示切替(PID_デモ用_神竜王リュール, False)\nキャラ表示切替(PID_E006_セレスティア, False)\nキャラ表示切替(PID_E006_グレゴリー, False)\nキャラ表示切替(PID_E006_マデリーン, False)\n\nキャラ表示切替(PID_青リュール, True)
MID_ED2_#060	キャラカメラ(CharaCam_Side_LeftBackDLC_Mid, PID_青リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_青リュール, Normal, EmoRelax,0, 0.5)
MID_ED2_#061	キャラモーション再生(PID_青リュール, Smile)\n\n*\nウェイト(0.3)\n白フェードアウト()\n一枚絵表示(Tex_Event_Effect_White, picture_fade_in_slow)\nキャラ表示切替(PID_青リュール, False)\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_l_slow)\n一枚絵非表示()\n白フェードイン(0.5)\nウェイト(4)\nフェードアウト()\n\nサウンドイベント(Env_Evt_Indoor_Air2_End)\nサウンドイベント(Field_Outdoor)
MID_ED3_#001	キャラ配置(PID_リュール, YOU_IN_C, [服装], Sad, IdleNormal, 180)\n\nキャラ配置(PID_E006_エル, ME_IN_B, [服装], Sad, IdleNormal, 0)\nキャラ表示切替(PID_E006_エル, False)\n\nキャラ配置(PID_デモ用_竜石なし_ラファール, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ表示切替(PID_デモ用_竜石なし_ラファール, False)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_MID_C, [服装], Sad, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用,0, 1.5,0)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_リュール, Smile)\n\nキャラカメラ(CharaCam_ShoulderLong_Right_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_track_r_slow)\n\n背景(Map_Event_Hub_Solanel_09_Day)\nライト(CharaLight_M002, 0, 0, 0)\nサウンドイベント(ENV_Evt_Wind3_Base)\nフェードイン()
MID_ED3_#002	キャラモーション再生(PID_リュール, Smile, EmoRelax,0, 0.5)
MID_ED3_#003	キャラカメラ(CharaCam_Side_Right2_Mid, PID_リュール, cam_anim_track_l_slow)\n
MID_ED3_#004	キャラ回転(PID_リュール, 180, 1.5,0)\nキャラモーション再生(PID_リュール, Surprise, TurnR,0, 0.5)\n\nキャラ視線(PID_リュール, PID_デモ用_竜石なし_ラファール, PID_デモ用_竜石なし_ラファール)\n\nキャラ表示切替(PID_E006_エル, True)\nキャラ表示切替(PID_デモ用_竜石なし_ラファール, True)
MID_ED3_#005	キャラモーション再生(PID_リュール, Smile, EmoSurprise2,0, 0.5)\n*\nウェイト(1)
MID_ED3_#006	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_track_r_slow)\nキャラ表示切替(PID_リュール, False)\n\nキャラモーション再生(PID_E006_エル, Smile, WalkIn2)\nキャラモーション再生(PID_E006_エル, Smile, EmoRelax,1, 0.5)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Smile, WalkIn)\n\n*\nキャラモーション待ち(PID_デモ用_竜石なし_ラファール)
MID_ED3_#007	キャラモーション再生(PID_デモ用_竜石なし_ラファール, Serious, EmoThink, 3.5,1)
MID_ED3_#008	キャラモーション再生(PID_デモ用_竜石なし_ラファール, Smile, EmoTalk,0,1)\n\n*\nウェイト(1)
MID_ED3_#009	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_slow)\nキャラ表示切替(PID_リュール, True)\n\nキャラモーション再生(PID_リュール, Smile, EmoTalk2,0, 0.5)
MID_ED3_#010	*\nウェイト(1)\nフェードアウト()
